ticker,company_name,sector,fetched_at
NETSOL,NetSol Technologies Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
NEXT,Next Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
NIB,NIB Bank Limited,COMMERCIAL BANKS,2026-09-10
NICL,Nimir Industrial Chemicals Limited,CHEMICAL,2026-09-10
NINA,Nina Industries Limited,TEXTILE COMPOSITE,2026-09-10
NMFL,Nirala MSR Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
NML,Nishat Mills Limited,TEXTILE COMPOSITE,2026-09-10
NONS,Noon Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
NORS,Noor Silk Mills Limited,SYNTHETIC & RAYON,2026-09-10
NPL,Nishat Power Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
NPSM,N. P. Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
NRL,National Refinery Limited,REFINERY,2026-09-10
NRSL,Nimir Resins Limited,CHEMICAL,2026-09-10
NSRM,The National Silk & Rayon Mills Limited,SYNTHETIC & RAYON,2026-09-10
OBOY,Oilboy Energy Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
OBOYR1,Oilboy Energy(R),OIL & GAS MARKETING COMPANIES,2026-09-10
OCTOPUS,Octopus Digital Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
OGDC,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,2026-09-10
OLPL,OLP Financial Services Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
OLPM,OLP Modaraba,MODARABAS,2026-09-10
OLSM,Olympia Spinning and Weaving Mills Limited,TEXTILE SPINNING,2026-09-10
OML,Olympia Mills Limited,MISCELLANEOUS,2026-09-10
ORIXM,Orix Modaraba,MODARABAS,2026-09-10
ORM,Orient Rental Mod,MODARABAS,2026-09-10
OTSU,Otsuka Pakistan Limited,PHARMACEUTICALS,2026-09-10
PABC,Pakistan Aluminium Beverage Cans Limited,MISCELLANEOUS,2026-09-10
PACE,Pace (Pakistan) Limited,PROPERTY,2026-09-10
PAEL,Pak Elektron Limited,CABLE & ELECTRICAL GOODS,2026-09-10
PAKCEM,Pakcem Limited,CEMENT,2026-09-10
PAKD,Pak Datacom Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
PAKL,Pak Leather Crafts Limited,LEATHER & TANNERIES,2026-09-10
PAKMI,First Pak Modaraba,,2026-09-10
PAKOXY,Pakistan Oxygen Limited,CHEMICAL,2026-09-10
PAKQATAR,Pak Qatar Family Takaful Limited,INSURANCE,2026-09-10
PAKRI,Pakistan Reinsurance Company Limited,INSURANCE,2026-09-10
PAKT,Pakistan Tobacco Company Limited,TOBACCO,2026-09-10
PASL,Pervez Ahmed Consultancy Services Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
PASM,Paramount Spinning Mills Limited,TEXTILE COMPOSITE,2026-09-10
PCAL,Pakistan Cables Limited,CABLE & ELECTRICAL GOODS,2026-09-10
PCML,Punjab Cotton Mill,TEXTILE WEAVING,2026-09-10
PDGH,Prudential Discourt & Guarantee House Lt,,2026-09-10
PECO,Pakistan Engineering Company Limited,ENGINEERING,2026-09-10
PGCL,Pakistan Gum & Chemicals Limited,CHEMICAL,2026-09-10
PGF,PICIC Growth Fund,CLOSE - END MUTUAL FUND,2026-09-10
PGIC,Pakistan Guarantee Insurance Company Limited,INSURANCE,2026-09-10
PGLC,Pak-Gulf Leasing Company Limited,LEASING COMPANIES,2026-09-10
PHDL,Pakistan Hotels Developers Limited,MISCELLANEOUS,2026-09-10
PIAA,Pakistan International Airlines Corp,,2026-09-10
PIAB,Pakistan International Airlines Corporat,,2026-09-10
PIAHCLA,PIA Holding Company Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
PIAHCLB,PIA Holding Company LimitedB,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
PIBTL,Pakistan International Bulk Terminal,TRANSPORT,2026-09-10
PICL,Pakistan Industrial & Commercial Leasing,LEASING COMPANIES,2026-09-10
PICT,Pakistan International Container,TRANSPORT,2026-09-10
PIF,PICIC Investment Fund,CLOSE - END MUTUAL FUND,2026-09-10
PIL,PICIC Insurance Limited,INSURANCE,2026-09-10
PIM,Popular Islamic Modaraba,MODARABAS,2026-09-10
PINL,Premier Insurance Limited,INSURANCE,2026-09-10
PIOC,Pioneer Cement Limited,CEMENT,2026-09-10
PKGI,The Pakistan General Insurance Co. Ltd.,INSURANCE,2026-09-10
PKGP,Pakgen Power Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
PKGS,Packages Limited,"PAPER, BOARD & PACKAGING",2026-09-10
PMI,First Prudential Modaraba,MODARABAS,2026-09-10
PMPK,Philip Morris (Pakistan) Limited,TOBACCO,2026-09-10
PMRS,The Premier Sugar Mills,SUGAR & ALLIED INDUSTRIES,2026-09-10
PNGRS,Pangrio Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
