ticker,company_name,sector,fetched_at
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
786R,786 Investment (Right),INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
AAL,Agro Allianz Limited,TEXTILE SPINNING,2026-09-10
AASM,Al-Abid Silk Mills Limited,SYNTHETIC & RAYON,2026-09-10
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ABL,Allied Bank Limited,COMMERCIAL BANKS,2026-09-10
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,2026-09-10
ABSON,Abson Industries Limited,"PAPER, BOARD & PACKAGING",2026-09-10
ACPL,Attock Cement Pakistan Limited,CEMENT,2026-09-10
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE,2026-09-10
ADOS,Ados Pakistan Limited,ENGINEERING,2026-09-10
ADTM,Adil Textile Mills Limited,TEXTILE SPINNING,2026-09-10
AEL,AEL Textile Limited,,2026-09-10
AGHA,Agha Steel Ind.Ltd,ENGINEERING,2026-09-10
AGIC,Askari General Insurance Company Limited,INSURANCE,2026-09-10
AGICR2,Askari General Insurance Co.Ltd.(Right),INSURANCE,2026-09-10
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
AGL,Agritech Limited,FERTILIZER,2026-09-10
AGLNCPS,Agritech Non-Voting (Pref) Class A,FERTILIZER,2026-09-10
AGP,AGP Limited,PHARMACEUTICALS,2026-09-10
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER,2026-09-10
AHCL,Arif Habib Corporation Limited,FERTILIZER,2026-09-10
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AHTM,Ahmad Hassan Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
AICL,Adamjee Insurance Company Limited,INSURANCE,2026-09-10
AIRLINK,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
AKBL,Askari Bank Limited,COMMERCIAL BANKS,2026-09-10
AKDCL,AKD Capital Limited,,2026-09-10
AKDHL,AKD Hospitality Limited,MISCELLANEOUS,2026-09-10
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS,2026-09-10
AKZO,Akzo Nobel Pakistan Limited,,2026-09-10
ALAC,Askari Life Assurance Company Limited,INSURANCE,2026-09-10
ALIFE,Adamjee Life Assurance Company Limited,INSURANCE,2026-09-10
ALNRS,Al-Noor Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
ALQT,Al-Qadir Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ALTN,Altern Energy Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
AMBL,Apna Microfinance Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AMSL,Al-Mal Securities & Services Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AMTEX,Amtex Limited,TEXTILE SPINNING,2026-09-10
ANL,Azgard Nine Limited,TEXTILE COMPOSITE,2026-09-10
ANNT,Annoor Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ANSM,Ansari Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
ANTM,AN Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
APL,Attock Petroleum Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
APOT,Apollo Textile Mills Limited,TEXTILE SPINNING,2026-09-10
AQTM,Al-Qaim Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ARCTM,Arctic Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ARM,Allied Rental Modaraba,,2026-09-10
ARMG,ARM Green Industries Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
ARPAK,Arpak International Investments Ltd.,MISCELLANEOUS,2026-09-10
ARPL,Archroma Pakistan Limited,CHEMICAL,2026-09-10
ARUJ,Aruj Industries Limited,TEXTILE COMPOSITE,2026-09-10
ASC,Al Shaheer Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
ASCR1,AL-Shaheer (R),,2026-09-10
ASHT,Ashfaq Textile Mills Limited,TEXTILE WEAVING,2026-09-10
ASIC,Asia Insurance Company Limited,INSURANCE,2026-09-10
ASL,Aisha Steel Mills Limited,ENGINEERING,2026-09-10
ASLCPS,Aisha Steel Convt (Pref) Right,ENGINEERING,2026-09-10
ASLPS,Aisha Steel Convertible (Pref),ENGINEERING,2026-09-10
ASRL,Associated Services Limited,JUTE,2026-09-10
ASTL,Amreli Steels Limited,ENGINEERING,2026-09-10
ASTM,Asim Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ATBA,Atlas Battery Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
ATIL,Atlas Insurance Limited,INSURANCE,2026-09-10
ATLH,Atlas Honda Limited,AUTOMOBILE ASSEMBLER,2026-09-10
ATRL,Attock Refinery Limited,REFINERY,2026-09-10
AVN,Avanceon Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
AWTX,Allawasaya Tex. & Finishing Mills Ltd,TEXTILE SPINNING,2026-09-10
AWWAL,Awwal Modaraba,,2026-09-10
AYTM,Ayesha Textile Mills Limited,,2026-09-10
AYZT,Ayaz Textile Mills Limited,TEXTILE WEAVING,2026-09-10
AZMT,Azmat Textile Mills Limited,TEXTILE SPINNING,2026-09-10
AZTM,Al-Azhar Textile Mills Limited,TEXTILE SPINNING,2026-09-10
BAFL,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-10
BAFS,Baba Farid Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
BAHL,Bank AL Habib Limited,COMMERCIAL BANKS,2026-09-10
BAPL,Bawany Air Products Limited,CHEMICAL,2026-09-10
BATA,Bata Pakistan Limited,LEATHER & TANNERIES,2026-09-10
BBFL,Big Bird Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
BCL,Bolan Castings Limited,ENGINEERING,2026-09-10
BCML,Babri Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
BECO,Beco Steel Limited,ENGINEERING,2026-09-10
BEEM,Beema-Pakistan Company Limited,INSURANCE,2026-09-10
BELA,Bela Automotives Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
BERG,Berger Paints Pakistan Limited,CHEMICAL,2026-09-10
BFAGRO,Barkat Frisian Agro Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
BFBIO,BF Biosciences Limited,PHARMACEUTICALS,2026-09-10
BFMOD,B.F. Modaraba,MODARABAS,2026-09-10
BGL,Baluchistan Glass Limited,GLASS & CERAMICS,2026-09-10
BHAT,Bhanero Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
BIFO,Biafo Industries Limited,CHEMICAL,2026-09-10
BIIC,Business & Industrial Insurance Company,INSURANCE,2026-09-10
BILF,Bilal Fibres Limited,TEXTILE SPINNING,2026-09-10
BIPL,BankIslami Pakistan Limited,COMMERCIAL BANKS,2026-09-10
BIPLS,BIPL Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
BLUEX,Blue-Ex Limited,TRANSPORT,2026-09-10
BML,Bank Makramah Limited,COMMERCIAL BANKS,2026-09-10
BNL,Bunnys Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
BNWM,Bannu Woollen Mills Limited,WOOLLEN,2026-09-10
BOK,The Bank of Khyber,COMMERCIAL BANKS,2026-09-10
BOP,The Bank of Punjab,COMMERCIAL BANKS,2026-09-10
BPBL,Balochistan Particle Board Limited,,2026-09-10
BPL,Burshane LPG (Pakistan) Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
BROT,Brothers Textile Mills Limited,TEXTILE SPINNING,2026-09-10
BRR,B.R.R. Guardian Modaraba,,2026-09-10
BRRG,B.R.R Guardian Limited,PROPERTY,2026-09-10
BTL,Blessed Textiles Limited,TEXTILE COMPOSITE,2026-09-10
BUXL,Buxly Paints Limited,CHEMICAL,2026-09-10
BWCL,Bestway Cement Limited,CEMENT,2026-09-10
BWHL,Baluchistan Wheels Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
BYCO,Byco Petroleum Pakistan Limited,REFINERY,2026-09-10
CASH,Calcorp Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
CCM,Crescent Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
CECL,Climax Engineering Company Limited,CABLE & ELECTRICAL GOODS,2026-09-10
CENI,Century Insurance Company Limited,INSURANCE,2026-09-10
CEPB,Century Paper & Board Mills Limited,"PAPER, BOARD & PACKAGING",2026-09-10
CFL,Crescent Fibres Limited,TEXTILE SPINNING,2026-09-10
CHAS,Chashma Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
CHBL,Chenab Limited,TEXTILE COMPOSITE,2026-09-10
CHCC,Cherat Cement Company Limited,CEMENT,2026-09-10
CJPL,Crescent Jute Products Limited,JUTE,2026-09-10
CLCPS,Chenab Limited (Pref),TEXTILE COMPOSITE,2026-09-10
CLOUD,Chakwal Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
CLOV,Clover Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
CLVL,Cordoba Logistics & Ventures Limited,TRANSPORT,2026-09-10
CNERGY,Cnergyico PK  Limited,REFINERY,2026-09-10
COLG,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
COST,(Colony) Sarhad Textile Mills Limited,,2026-09-10
COTT,,TEXTILE COMPOSITE,2026-09-10
CPAL,Capital Assets Leasing Corporation,LEASING COMPANIES,2026-09-10
CPHL,Citi Pharma Ltd.,PHARMACEUTICALS,2026-09-10
CPPL,Cherat Packaging Limited,"PAPER, BOARD & PACKAGING",2026-09-10
CRTM,The Crescent Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
CSAP,Crescent Steel & Allied Products Limited,ENGINEERING,2026-09-10
CSIL,Crescent Star Insurance Limited,INSURANCE,2026-09-10
CSILR3,Crescent Star Insurance Limited (Right),INSURANCE,2026-09-10
CSM,Cresent Standard Modaraba,MODARABAS,2026-09-10
CTM,Colony Textile Mills Limited,TEXTILE SPINNING,2026-09-10
CWSM,Chakwal Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
CYAN,Cyan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
DAAG,Data Agro Limited,CHEMICAL,2026-09-10
DADX,Dadex Eternit Limited,ENGINEERING,2026-09-10
DATM,Data Textiles Limited,,2026-09-10
DAWH,Dawood Hercules Corporation Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
DBCI,Dadabhoy Cement Industries Limited,CEMENT,2026-09-10
DBSL,Dadabhoy Sack Limited,"PAPER, BOARD & PACKAGING",2026-09-10
DCL,Dewan Cement Limited,CEMENT,2026-09-10
DCM,Dawood Capital Management Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
DCR,Dolmen City REIT,REAL ESTATE INVESTMENT TRUST,2026-09-10
DCTL,Dadabhoy Construction Technology Limited,MISCELLANEOUS,2026-09-10
DEL,Dawood Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
DFML,Dewan Farooque Motors Limited,AUTOMOBILE ASSEMBLER,2026-09-10
DFSM,Dewan Farooque Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
DGKC,D.G. Khan Cement Company Limited,CEMENT,2026-09-10
DHPL,DH Partners Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
DIIL,Diamond Industries Limited,MISCELLANEOUS,2026-09-10
DINT,Din Textile Mills Limited,TEXTILE SPINNING,2026-09-10
DKL,Drekkar Kingsway Limited,ENGINEERING,2026-09-10
DKTM,Dewan Khalid Textile Mills Limited,TEXTILE SPINNING,2026-09-10
DLL,Dawood Lawrencepur Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
DMC,D.M. Corporation Limited.,TEXTILE SPINNING,2026-09-10
DMIL,D.M. Industries Limited,TEXTILE SPINNING,2026-09-10
DMTM,Dewan Mushtaq Textile Mills Limited,TEXTILE SPINNING,2026-09-10
DMTX,D.M. Textile Mills Limited,TEXTILE SPINNING,2026-09-10
DNCC,Dandot Cement Company Limited,CEMENT,2026-09-10
DOL,Descon Oxychem Limited,CHEMICAL,2026-09-10
DOLCPS,Descon Oxychem Limited (12%Non-Voting Pref),CHEMICAL,2026-09-10
DOMF,Dominion Stock Fund Limited,,2026-09-10
DSFL,Dewan Salman Fibre Limited,SYNTHETIC & RAYON,2026-09-10
DSIL,D.S. Industries Limited,TEXTILE SPINNING,2026-09-10
DSL,Dost Steels Limited,ENGINEERING,2026-09-10
DSML,Dar-es-Salaam Textile Mills Limited,TEXTILE SPINNING,2026-09-10
DWAE,Dewan Automotive Engineering Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
DWSM,Dewan Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
DWTM,Dewan Textile Mills Limited,TEXTILE SPINNING,2026-09-10
DYNO,Dynea Pakistan Limited,CHEMICAL,2026-09-10
ECOP,Ecopack Limited,MISCELLANEOUS,2026-09-10
EFERT,Engro Fertilizers Limited,FERTILIZER,2026-09-10
EFGH,EFG Hermes Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
EFOODS,Engro Foods Limited,,2026-09-10
EFUG,EFU General Insurance Limited,INSURANCE,2026-09-10
EFUL,EFU Life Assurance Limited,INSURANCE,2026-09-10
ELCM,Elahi Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
ELSM,Ellcot Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
EMCO,Emco Industries Limited,CABLE & ELECTRICAL GOODS,2026-09-10
ENGL,English Leasing Limited,LEASING COMPANIES,2026-09-10
ENGRO,Engro Corporation Limited,FERTILIZER,2026-09-10
ENGROH,Engro Holdings Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
EPCL,Engro Polymer & Chemicals Limited,CHEMICAL,2026-09-10
EPCLPS,Engro Poly(Pref),CHEMICAL,2026-09-10
EPCLR1,,CHEMICAL,2026-09-10
EPQL,Engro Powergen Qadirpur Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
ESBL,Escorts Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
EWIC,East West Insurance Company Limited,INSURANCE,2026-09-10
EWICR1,East West (R),,2026-09-10
EWLA,East West Life Assurance Company Limited,INSURANCE,2026-09-10
EXIDE,Exide Pakistan Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
EXTR,Extraction (Pakistan) Limited,,2026-09-10
FABL,Faysal Bank Limited,COMMERCIAL BANKS,2026-09-10
FAEL,Fatima Enterprises Limited,TEXTILE SPINNING,2026-09-10
FANM,First Al-Noor Modaraba,MODARABAS,2026-09-10
FASM,Faisal Spinning Mills Limited,TEXTILE COMPOSITE,2026-09-10
FATIMA,Fatima Fertilizer Company Limited,FERTILIZER,2026-09-10
FCCL,Fauji Cement Company Limited,CEMENT,2026-09-10
FCEL,First Capital Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
FCEPL,Frieslandcampina Engro Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
FCIBL,First Credit and Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
FCL,Fast Cables Limited,CABLE & ELECTRICAL GOODS,2026-09-10
FCONM,First Constellation Modaraba,MODARABAS,2026-09-10
FCSC,First Capital Securities Corporation,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
FDIBL,First Dawood Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
FDMF,First Dawood Mutual Fund,CLOSE - END MUTUAL FUND,2026-09-10
FDPL,First Dawood Properties Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
FECM,First Elite Capital Modaraba,MODARABAS,2026-09-10
FECTC,Fecto Cement Limited,CEMENT,2026-09-10
FEM,First Equity Modaraba,MODARABAS,2026-09-10
FEROZ,Ferozsons Laboratories Limited,PHARMACEUTICALS,2026-09-10
FFBL,Fauji Fertilizer Bin Qasim Limited,FERTILIZER,2026-09-10
FFC,Fauji Fertilizer Company Limited,FERTILIZER,2026-09-10
FFL,Fauji Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
FFLM,First Fidelity Leasing Modaraba,MODARABAS,2026-09-10
FFLNV,,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
FFLR1,Fauji Foods Ltd(R),,2026-09-10
FHAM,First Habib Modaraba,MODARABAS,2026-09-10
FIBLM,First IBL Modaraba,MODARABAS,2026-09-10
FIL,Fateh Industries Limited,LEATHER & TANNERIES,2026-09-10
FIM,First Investec Modaraba,MODARABAS,2026-09-10
FIMM,First Imrooz Modaraba,MODARABAS,2026-09-10
FLYNG,Flying Cement Company Limited,CEMENT,2026-09-10
FLYNGR1,Flying Cement(R),CEMENT,2026-09-10
FML,Feroze1888 Mills Limited,TEXTILE COMPOSITE,2026-09-10
FNBM,First National Bank Modaraba,MODARABAS,2026-09-10
FNEL,First National Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
FPJM,First Punjab Modaraba,MODARABAS,2026-09-10
FPRM,First Paramount Modaraba,MODARABAS,2026-09-10
FPRMR2,First Paramount Modaraba(Right),MODARABAS,2026-09-10
FRCL,Frontier Ceramics Limited,GLASS & CERAMICS,2026-09-10
FRSM,Faran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
FSWL,Fateh Sports Wear Limited,TEXTILE COMPOSITE,2026-09-10
FTHM,Fateh Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
FTMM,First Treet Manufacturing Modaraba,MODARABAS,2026-09-10
FTSM,First Tri-Star Modaraba,MODARABAS,2026-09-10
FUDLM,First UDL Modaraba,,2026-09-10
FZCM,Fazal Cloth Mills Limited,TEXTILE COMPOSITE,2026-09-10
GADT,Gadoon Textile Mills Limited,TEXTILE SPINNING,2026-09-10
GAIL,Ghani Automobile Industries Limited,AUTOMOBILE ASSEMBLER,2026-09-10
GAILR1,,,2026-09-10
GAL,Ghandhara Automobiles Limited,AUTOMOBILE ASSEMBLER,2026-09-10
GAMON,Gammon Pakistan Limited,MISCELLANEOUS,2026-09-10
GASF,Golden Arrow Selected Stocks,CLOSE - END MUTUAL FUND,2026-09-10
GATI,Gatron (Industries) Limited,SYNTHETIC & RAYON,2026-09-10
GATM,Gul Ahmed Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
GCIL,Ghani Chemical Industries Limited,CHEMICAL,2026-09-10
GCILB,Ghani Chemical Industries Limited (B),,2026-09-10
GCWL,Ghani Chemworld Limited,CHEMICAL,2026-09-10
GCWLPRS,Ghani Chemworld Limited(PRS),CHEMICAL,2026-09-10
GCWLR,Ghani Chemworld Limited Right,CHEMICAL,2026-09-10
GDL,Ghani Dairies Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
GEMBCEM,Burj Clean Energy Modaraba(GEM),MODARABAS,2026-09-10
GEMBLUEX,Blue-Ex Limited (GEM),TRANSPORT,2026-09-10
GEMMEL,Mughal Energy Limited(GEM),POWER GENERATION & DISTRIBUTION,2026-09-10
GEMNETS,Nets International Communication Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
GEMPACRA,The Pakistan Credit Rating Agency Ltd,MISCELLANEOUS,2026-09-10
GEMPAPL,Pak Agro Packaging Limited(GEM),"PAPER, BOARD & PACKAGING",2026-09-10
GEMSPNL,Supernet Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
GEMUNSL,Universal Network Systems Limited(GEM),,2026-09-10
GENP,Genertech Pakistan Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
GFIL,Ghazi Fabrics International Limited,TEXTILE COMPOSITE,2026-09-10
GGGL,Ghani Global Glass Limited,GLASS & CERAMICS,2026-09-10
GGGLR1,Ghani Global(R),,2026-09-10
GGL,Ghani Global Holdings Limited,CHEMICAL,2026-09-10
GGLR1,Ghani Global(R),,2026-09-10
GHGL,Ghani Glass Limited,GLASS & CERAMICS,2026-09-10
GHGLR1,,GLASS & CERAMICS,2026-09-10
GHNI,Ghandhara Industries Limited,AUTOMOBILE ASSEMBLER,2026-09-10
GHNL,Ghandhara Nissan Limited,AUTOMOBILE ASSEMBLER,2026-09-10
GIL,Good Luck Industries Ltd.,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
GLAT,Glamour Textile Mills Limited,TEXTILE SPINNING,2026-09-10
GLAXO,GlaxoSmithKline Pakistan Limited,PHARMACEUTICALS,2026-09-10
GLOT,Globe Textile Mills Limited,TEXTILE SPINNING,2026-09-10
GLPL,Gillette Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
GOC,GOC (Pak) Limited.,MISCELLANEOUS,2026-09-10
GOEM,Globe Textile Mills (OE) Limited,TEXTILE SPINNING,2026-09-10
GRR,Globe Residency REIT,REAL ESTATE INVESTMENT TRUST,2026-09-10
GRYL,Grays Leasing Limited,LEASING COMPANIES,2026-09-10
GSKCH,GlaxoSmithKline Consumer Healthcare,PHARMACEUTICALS,2026-09-10
GSPM,Gulshan Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
GTECH,G3 Technologies Limited,,2026-09-10
GTECHBR,G3 Technologies Ltd.CLASS B,,2026-09-10
GTYR,Ghandhara Tyre & Rubber Company Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
GUSM,Gulistan Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
GUTM,Gulistan Textile Mills Limited,TEXTILE SPINNING,2026-09-10
GVGL,Ghani Value Glass Limited,GLASS & CERAMICS,2026-09-10
GWLC,Gharibwal Cement Limited,CEMENT,2026-09-10
HABSM,Habib Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
HACC,Hashimi Can Company Limited,MISCELLANEOUS,2026-09-10
HADC,Haydari Construction Company Limited,MISCELLANEOUS,2026-09-10
HAEL,Hala Enterprises Limited,TEXTILE COMPOSITE,2026-09-10
HAFL,Hafiz Limited,TEXTILE COMPOSITE,2026-09-10
HAJT,Hajra Textile Mills Limited,TEXTILE SPINNING,2026-09-10
HAL,Habib-ADM Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
HALEON,Haleon Pakistan Limited,PHARMACEUTICALS,2026-09-10
HASCOL,Hascol Petroleum Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
HASCOLR1,Hascol Petre(R),OIL & GAS MARKETING COMPANIES,2026-09-10
HATM,Hamid Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
HBL,Habib Bank Limited,COMMERCIAL BANKS,2026-09-10
HCAR,Honda Atlas Cars (Pakistan) Limited,AUTOMOBILE ASSEMBLER,2026-09-10
HCL,Hallmark Company Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
HGFA,HBL Growth Fund,CLOSE - END MUTUAL FUND,2026-09-10
HICL,Habib Insurance Company Limited,INSURANCE,2026-09-10
HIFA,HBL Investment Fund,CLOSE - END MUTUAL FUND,2026-09-10
HINO,Hinopak Motors Limited,AUTOMOBILE ASSEMBLER,2026-09-10
HINOON,Highnoon Laboratories Limited,PHARMACEUTICALS,2026-09-10
HIRAT,Hira Textile Mills Limited,TEXTILE SPINNING,2026-09-10
HKKT,Hakkim Textile Mills Limited,TEXTILE WEAVING,2026-09-10
HMB,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,2026-09-10
HMICL,Hallmark Insurance Company Limited,INSURANCE,2026-09-10
HMIM,Haji Mohammad Ismail Mills Limited,TEXTILE SPINNING,2026-09-10
HMM,Habib Metro Mod,,2026-09-10
HPL,Hoechst Pakistan Limited,PHARMACEUTICALS,2026-09-10
HRPL,Habib Rice Product Limited.,SUGAR & ALLIED INDUSTRIES,2026-09-10
HSM,Husein Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
HSMCPS,Husein Sugar(Pref),SUGAR & ALLIED INDUSTRIES,2026-09-10
HSMPSR,Husein Sugar(R),,2026-09-10
HSMR1,,SUGAR & ALLIED INDUSTRIES,2026-09-10
HSPI,Huffaz Seamless Pipe Industries Limited,ENGINEERING,2026-09-10
HTL,Hi-Tech Lubricants Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
HUBC,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
HUMNL,Hum Network Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
HUSI,Husein Industries Limited,PROPERTY,2026-09-10
HWQS,Haseeb Waqas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
IBFL,Ibrahim Fibres Limited,SYNTHETIC & RAYON,2026-09-10
IBLHL,IBL HealthCare Limited,PHARMACEUTICALS,2026-09-10
ICCI,ICC Industries Limited,TEXTILE WEAVING,2026-09-10
ICCT,ICC Textiles Limited,TEXTILE WEAVING,2026-09-10
ICI,ICI Pakistan Limited,CHEMICAL,2026-09-10
ICIBL,Invest Capital Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
ICL,Ittehad Chemicals Limted,CHEMICAL,2026-09-10
ICLR1,,CHEMICAL,2026-09-10
IDEAL,Ideal Dynamics Limited,TEXTILE SPINNING,2026-09-10
IDRT,Idrees Textile Mills Limited,TEXTILE SPINNING,2026-09-10
IDSM,Ideal Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
IDYM,Indus Dyeing & Manufacturing Co. Limited,TEXTILE SPINNING,2026-09-10
IFSL,Invest & Finance Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
IGIBL,IGI Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
IGIHL,IGI Holdings Limited,INSURANCE,2026-09-10
IGIIL,IGI Insurance Limited,INSURANCE,2026-09-10
IGIL,IGI Life Insurance Limited,INSURANCE,2026-09-10
ILP,Interloop Limited,TEXTILE COMPOSITE,2026-09-10
ILTM,Island Textile Mills Limited,,2026-09-10
IMAGE,Image Pakistan Limited,APPAREL,2026-09-10
IMAGER1,Image Pak Ltd(R),,2026-09-10
IML,Imperial  Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
IMS,Intermarket Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
IMSL,Imperial Sugar Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
INDU,Indus Motor Company Limited,AUTOMOBILE ASSEMBLER,2026-09-10
INIL,International Industries Limited,ENGINEERING,2026-09-10
INKL,International Knitwear Limited,APPAREL,2026-09-10
